exercice,niveau,groupe_musculaire,materiel,zone_du_corps
Alternating Double Dumbbell Top Down Incline Bench Press,débutant,pectoraux,Dumbbell,haut du corps
Alternating Double Dumbbell Top Down Decline Bench Press,débutant,pectoraux,Dumbbell,haut du corps
Double Kettlebell Suitcase Box Step Up,débutant,quadriceps,Kettlebell,bas du corps
Single Arm Kettlebell Suitcase Contralateral Box Step Up,débutant,quadriceps,Kettlebell,bas du corps
Double Dumbbell Overhead Alternating Box Step Up,intermédiaire,quadriceps,Dumbbell,bas du corps
Single Arm Dumbbell Overhead Contralateral Box Step Up,intermédiaire,quadriceps,Dumbbell,bas du corps
Barbell Overhead Alternating Box Step Up,avancé,quadriceps,Barbell,bas du corps
Barbell Overhead Box Step Up,avancé,quadriceps,Barbell,bas du corps
Single Arm Dumbbell Suitcase Contralateral Box Step Up,débutant,quadriceps,Dumbbell,bas du corps
Single Arm Dumbbell Suitcase Ipsilateral Box Step Up,débutant,quadriceps,Dumbbell,bas du corps
Single Arm Dumbbell Front Rack Alternating Box Step Up,débutant,quadriceps,Dumbbell,bas du corps
Single Arm Dumbbell Front Rack Contralateral Box Step Up to Single Leg Balance,intermédiaire,quadriceps,Dumbbell,bas du corps
Single Arm Dumbbell Overhead Ipsilateral Box Step Up,intermédiaire,quadriceps,Dumbbell,bas du corps
Double Kettlebell Overhead Box Step Up,intermédiaire,quadriceps,Kettlebell,bas du corps
Bar Advanced Tuck Back Lever,avancé,abdominaux,barre de traction,
Bar Advanced Tuck Front Lever,avancé,abdominaux,barre de traction,
Bar Advanced Tuck Front Lever Pull Up,intermédiaire,dos,barre de traction,haut du corps
Bar Archer Pull Up,avancé,dos,barre de traction,haut du corps
Bar Chin Up,intermédiaire,biceps,barre de traction,haut du corps
Bar Circle Front Lever,intermédiaire,abdominaux,barre de traction,sangle abdominale
Bar Dead Hang,débutant,dos,barre de traction,haut du corps
Bar Eccentric Chin Up ,débutant,biceps,barre de traction,haut du corps
Bar Eccentric Pull Up,débutant,dos,barre de traction,haut du corps
Bar Full Back Lever,intermédiaire,abdominaux,barre de traction,
Bar Full Front Lever,intermédiaire,abdominaux,barre de traction,
Bar Gironda Sternum Chin Up,intermédiaire,biceps,barre de traction,haut du corps
Bar Half Lay Back Lever,avancé,abdominaux,barre de traction,
Bar Half Lay Front Lever,avancé,abdominaux,barre de traction,
Bar Hanging Knee Raise,intermédiaire,abdominaux,barre de traction,sangle abdominale
Bar Hanging Knees to Elbows,avancé,abdominaux,barre de traction,sangle abdominale
Bar Hanging Leg Raise Toes to Bar,avancé,abdominaux,barre de traction,sangle abdominale
Bar Hanging Oblique Knee Raise,intermédiaire,abdominaux,barre de traction,sangle abdominale
Bar Inverted Hang,avancé,abdominaux,barre de traction,
Bar L Sit Hang Flutter Kicks,intermédiaire,abdominaux,barre de traction,sangle abdominale
Bar L Sit Chin Up,avancé,biceps,barre de traction,haut du corps
Bar L Sit Pull Up,avancé,dos,barre de traction,haut du corps
Bar Pull Up,intermédiaire,dos,barre de traction,haut du corps
Bar Scapular Pull Up,intermédiaire,dos,barre de traction,haut du corps
Bar Single Leg Out Back Lever,avancé,abdominaux,barre de traction,
Bar Single Leg Out Front Lever,avancé,abdominaux,barre de traction,
Bar Skin The Cat,intermédiaire,épaules,barre de traction,haut du corps
Bar Straddle Back Lever,intermédiaire,abdominaux,barre de traction,
Bar Strict Muscle Up,intermédiaire,dos,barre de traction,haut du corps
Bar Tuck Back Lever,avancé,abdominaux,barre de traction,
Bar Tuck Front Lever,avancé,abdominaux,barre de traction,
Single Arm Bar Dead Hang,débutant,dos,barre de traction,haut du corps
Single Arm Kettlebell Front Rack Ipsilateral Pistol Squat,avancé,quadriceps,Kettlebell,bas du corps
Kettlebell Horn Grip Goblet Pistol Squat,avancé,quadriceps,Kettlebell,bas du corps
Bodyweight Alternating Box Step Up,débutant,quadriceps,Bodyweight,bas du corps
Bodyweight Box Step Up,débutant,quadriceps,Bodyweight,bas du corps
Alternating Single Arm Macebell 10 to 2,intermédiaire,épaules,macebell,haut du corps
Slider Archer Push Up,avancé,pectoraux,disques de glisse,haut du corps
Suspension Archer Push Up,avancé,pectoraux,sangles de suspension,haut du corps
Superband Chaos Push Up,avancé,pectoraux,super élastique,haut du corps
Double Kettlebell L Sit,avancé,abdominaux,Kettlebell,sangle abdominale
Double Kettlebell L Sit Lift Over,avancé,abdominaux,Kettlebell,sangle abdominale
Resistance Band Alternating Bicep Curl,débutant,biceps,Resistance Band,haut du corps
Resistance Band Bicep Curl,débutant,biceps,Resistance Band,haut du corps
Resistance Band Chest Press,débutant,pectoraux,Resistance Band,haut du corps
Resistance Band Alternating Chest Press,débutant,pectoraux,Resistance Band,haut du corps
Single Arm Kettlebell Bottoms Up Windmill,avancé,abdominaux,Kettlebell,sangle abdominale
Double Kettlebell Push Up,intermédiaire,pectoraux,Kettlebell,haut du corps
Clubbell Alternating Inside Pendulum,intermédiaire,abdominaux,clubbell,corps entier
Single Arm Clubbell Inside Pendulum to Outside Pendulum,intermédiaire,abdominaux,clubbell,corps entier
Clubbell Outside Pendulum,intermédiaire,abdominaux,clubbell,corps entier
Clubbell Outside Circle,intermédiaire,abdominaux,clubbell,corps entier
Single Arm Clubbell Outside Circle,intermédiaire,abdominaux,clubbell,corps entier
Double Clubbell Alternating Outside Circles,intermédiaire,abdominaux,clubbell,corps entier
Double Clubbell Alternating Symmetrical Circles,intermédiaire,abdominaux,clubbell,corps entier
Double Kettlebell Overhead March,intermédiaire,abdominaux,Kettlebell,sangle abdominale
Single Arm Kettlebell Overhead March,intermédiaire,abdominaux,Kettlebell,sangle abdominale
Barbell Snatch Balance,avancé,quadriceps,Barbell,corps entier
Double Dumbbell Suitcase March,débutant,abdominaux,Dumbbell,sangle abdominale
Single Arm Dumbbell Suitcase March,débutant,abdominaux,Dumbbell,sangle abdominale
Double Dumbbell Front Rack March,débutant,abdominaux,Dumbbell,sangle abdominale
Single Arm Dumbbell Front Rack March,débutant,abdominaux,Dumbbell,sangle abdominale
Double Dumbbell Overhead March,intermédiaire,abdominaux,Dumbbell,sangle abdominale
Single Arm Dumbbell Overhead March,intermédiaire,abdominaux,Dumbbell,sangle abdominale
Barbell Front Rack March,débutant,abdominaux,Barbell,sangle abdominale
Barbell Back Rack March,débutant,abdominaux,Barbell,sangle abdominale
Barbell Back Rack Alternating Forward Lunge,intermédiaire,quadriceps,Barbell,bas du corps
Barbell Back Rack Alternating Reverse Lunge,intermédiaire,quadriceps,Barbell,bas du corps
Double Kettlebell Suitcase Alternating Reverse Lunge,débutant,quadriceps,Kettlebell,bas du corps
Double Kettlebell Suitcase Alternating Lateral Lunge,débutant,quadriceps,Kettlebell,bas du corps
Double Kettlebell Front Rack Alternating Lateral Lunge,débutant,quadriceps,Kettlebell,bas du corps
Double Kettlebell Front Rack Alternating Forward Lunge,débutant,quadriceps,Kettlebell,bas du corps
Double Kettlebell Front Rack Alternating Reverse Lunge,débutant,quadriceps,Kettlebell,bas du corps
Double Kettlebell Overhead Alternating Forward Lunge,intermédiaire,quadriceps,Kettlebell,bas du corps
Double Kettlebell Overhead Alternating Reverse Lunge,intermédiaire,quadriceps,Kettlebell,bas du corps
Single Arm Kettlebell Suitcase Alternating Forward Lunge,débutant,quadriceps,Kettlebell,bas du corps
Single Arm Kettlebell Suitcase Alternating Reverse Lunge,débutant,quadriceps,Kettlebell,bas du corps
Single Arm Kettlebell Front Rack Alternating Lateral Lunge,débutant,quadriceps,Kettlebell,bas du corps
Single Arm Kettlebell Front Rack Alternating Forward Lunge,débutant,quadriceps,Kettlebell,bas du corps
Single Arm Kettlebell Front Rack Alternating Reverse Lunge,débutant,quadriceps,Kettlebell,bas du corps
Single Arm Kettlebell Bottoms Up Overhead Alternating Reverse Lunge,avancé,quadriceps,Kettlebell,bas du corps
Double Dumbbell Suitcase Alternating Forward Lunge,débutant,quadriceps,Dumbbell,bas du corps
Double Dumbbell Suitcase Alternating Reverse Lunge,débutant,quadriceps,Dumbbell,bas du corps
Double Dumbbell Front Rack Alternating Lateral Lunge,débutant,quadriceps,Dumbbell,bas du corps
Double Dumbbell Front Rack Alternating Forward Lunge,débutant,quadriceps,Dumbbell,bas du corps
Double Dumbbell Front Rack Alternating Reverse Lunge,débutant,quadriceps,Dumbbell,bas du corps
Double Dumbbell Overhead Alternating Forward Lunge,intermédiaire,quadriceps,Dumbbell,bas du corps
Double Dumbbell Overhead Alternating Reverse Lunge,intermédiaire,quadriceps,Dumbbell,bas du corps
Single Arm Dumbbell Suitcase Alternating Forward Lunge,débutant,quadriceps,Dumbbell,bas du corps
Single Arm Dumbbell Suitcase Alternating Reverse Lunge,débutant,quadriceps,Dumbbell,bas du corps
Single Arm Dumbbell Front Rack Alternating Forward Lunge,débutant,quadriceps,Dumbbell,bas du corps
Single Arm Dumbbell Front Rack Alternating Reverse Lunge,débutant,quadriceps,Dumbbell,bas du corps
Single Arm Dumbbell Overhead Alternating Forward Lunge,intermédiaire,quadriceps,Dumbbell,bas du corps
Single Arm Dumbbell Overhead Alternating Reverse Lunge,intermédiaire,quadriceps,Dumbbell,bas du corps
Kettlebell Goblet Alternating Lateral Lunge,débutant,quadriceps,Kettlebell,bas du corps
Kettlebell Goblet Alternating Forward Lunge,débutant,quadriceps,Kettlebell,bas du corps
Kettlebell Goblet Alternating Reverse Lunge,débutant,quadriceps,Kettlebell,bas du corps
Dumbbell Goblet Alternating Lateral Lunge,débutant,quadriceps,Dumbbell,bas du corps
Dumbbell Goblet Alternating Forward Lunge,débutant,quadriceps,Dumbbell,bas du corps
Dumbbell Goblet Alternating Reverse Lunge,débutant,quadriceps,Dumbbell,bas du corps
Landmine Goblet Alternating Lateral Lunge,débutant,quadriceps,landmine,bas du corps
Landmine Goblet Alternating Reverse Lunge,débutant,quadriceps,landmine,bas du corps
Double Dumbbell Front Rack Cyclist Squat,débutant,quadriceps,Dumbbell,bas du corps
Single Arm Dumbbell Front Rack Cyclist Squat,débutant,quadriceps,Dumbbell,bas du corps
Bodyweight Alternating Lateral Lunge,débutant,quadriceps,Bodyweight,bas du corps
Bodyweight Alternating Forward Lunge,débutant,quadriceps,Bodyweight,bas du corps
Bodyweight Alternating Reverse Lunge,débutant,quadriceps,Bodyweight,bas du corps
Double Dumbbell Overhead Squat,intermédiaire,quadriceps,Dumbbell,bas du corps
Single Arm Dumbbell Overhead Squat,intermédiaire,quadriceps,Dumbbell,bas du corps
Double Dumbbell Front Rack Bulgarian Split Squat,intermédiaire,quadriceps,Dumbbell,bas du corps
Double Dumbbell Overhead Bulgarian Split Squat,avancé,quadriceps,Dumbbell,bas du corps
Single Arm Dumbbell Suitcase Contralateral Bulgarian Split Squat,intermédiaire,quadriceps,Dumbbell,bas du corps
Single Arm Dumbbell Front Rack Contralateral Bulgarian Split Squat,intermédiaire,quadriceps,Dumbbell,bas du corps
Single Arm Dumbbell Front Rack Ipsilateral Bulgarian Split Squat,intermédiaire,quadriceps,Dumbbell,bas du corps
Suspension Alternating Lateral Lunge,débutant,quadriceps,sangles de suspension,bas du corps
Bulgarian Bag Back Rack Alternating Lateral Lunge,débutant,quadriceps,sac bulgare,bas du corps
Bulgarian Bag Back Rack Walking Lunge,débutant,quadriceps,sac bulgare,bas du corps
Bulgarian Bag Back Rack Alternating Forward Lunge,débutant,quadriceps,sac bulgare,bas du corps
Sandbag Front Rack Alternating Lateral Lunge,débutant,quadriceps,sac de sable,bas du corps
Sandbag Front Rack Walking Lunge,débutant,quadriceps,sac de sable,bas du corps
Sandbag Front Rack Alternating Forward Lunge,débutant,quadriceps,sac de sable,bas du corps
Sandbag Front Rack Alternating Reverse Lunge,débutant,quadriceps,sac de sable,bas du corps
Plate Overhead Walking Lunge,intermédiaire,quadriceps,disque de poids,bas du corps
Plate Overhead Alternating Forward Lunge,intermédiaire,quadriceps,disque de poids,bas du corps
Plate Overhead Alternating Reverse Lunge,intermédiaire,quadriceps,disque de poids,bas du corps
Bodyweight Tuck Planche,avancé,abdominaux,Bodyweight,sangle abdominale
Bodyweight Tuck Planche Push Up,intermédiaire,pectoraux,Bodyweight,haut du corps
Bodyweight Pseudo Planche Lean,intermédiaire,abdominaux,Bodyweight,haut du corps
Bar L Sit Hang,intermédiaire,abdominaux,barre de traction,sangle abdominale
Ring L Sit Hang,intermédiaire,abdominaux,anneaux de gymnastique,sangle abdominale
Single Arm Bar L Sit Hang,avancé,abdominaux,barre de traction,sangle abdominale
Single Arm Ring L Sit Hang,avancé,abdominaux,anneaux de gymnastique,sangle abdominale
Double Kettlebell L Sit Flutter Kicks,avancé,abdominaux,Kettlebell,sangle abdominale
Parallette L Sit Flutter Kicks,avancé,abdominaux,barres parallèles,sangle abdominale
Resistance Band Chest Fly,débutant,pectoraux,Resistance Band,haut du corps
Resistance Band Low Row,débutant,dos,Resistance Band,haut du corps
Resistance Band Face Pull,débutant,épaules,Resistance Band,haut du corps
Resistance Band Face Pull to Overhead Press,débutant,épaules,Resistance Band,haut du corps
Single Arm Resistance Band Low Row,débutant,dos,Resistance Band,haut du corps
Single Arm Resistance Band Chest Press,débutant,pectoraux,Resistance Band,haut du corps
Resistance Band Reverse Grip Bicep Curl,débutant,avant-bras,Resistance Band,haut du corps
Resistance Band Hammer Curl,débutant,biceps,Resistance Band,haut du corps
Resistance Band Alternating Hammer Curl,débutant,biceps,Resistance Band,haut du corps
Bodyweight L Sit,intermédiaire,abdominaux,Bodyweight,sangle abdominale
Bodyweight Single Arm L Sit,avancé,abdominaux,Bodyweight,sangle abdominale
Kettlebell Goblet Walking Lunge,débutant,quadriceps,Kettlebell,bas du corps
Kettlebell Horn Grip Alternating Lateral Lunge,débutant,quadriceps,Kettlebell,bas du corps
Kettlebell Low Hold Alternating Lateral Lunge,débutant,quadriceps,Kettlebell,bas du corps
Kettlebell Horn Grip Alternating Forward Lunge,débutant,quadriceps,Kettlebell,bas du corps
Kettlebell Horn Grip Alternating Reverse Lunge,débutant,quadriceps,Kettlebell,bas du corps
Kettlebell Horn Grip Walking Lunge,débutant,quadriceps,Kettlebell,bas du corps
Resistance Band Cuban Press,débutant,épaules,Resistance Band,haut du corps
Resistance Band Tall Kneeling Cuban Press,débutant,épaules,Resistance Band,haut du corps
Stability Ball Feet Elevated Glute Bridge,débutant,fessiers,Stability Ball,bas du corps
Bodyweight Mountain Climber,débutant,abdominaux,Bodyweight,sangle abdominale
Suspension Mountain Climber,intermédiaire,abdominaux,sangles de suspension,sangle abdominale
Bodyweight Straddle L Sit,intermédiaire,abdominaux,Bodyweight,sangle abdominale
Resistance Band Pull Apart,débutant,épaules,Resistance Band,haut du corps
Resistance Band Tall Kneeling Face Pull,débutant,épaules,Resistance Band,haut du corps
Barbell Back Rack Alternating Box Step Up,intermédiaire,quadriceps,Barbell,bas du corps
Barbell Front Rack Alternating Box Step Up,intermédiaire,quadriceps,Barbell,bas du corps
Resistance Band Overhead Press,débutant,épaules,Resistance Band,haut du corps
Resistance Band Alternating Overhead Press,débutant,épaules,Resistance Band,haut du corps
Ring Tuck L Sit,intermédiaire,abdominaux,anneaux de gymnastique,sangle abdominale
Ring Tuck L Sit Hang,intermédiaire,abdominaux,anneaux de gymnastique,sangle abdominale
Bar Tuck L Sit Hang,intermédiaire,abdominaux,barre de traction,sangle abdominale
Ring Support Mountain Climber,intermédiaire,abdominaux,anneaux de gymnastique,sangle abdominale
Ring Mountain Climber,intermédiaire,abdominaux,anneaux de gymnastique,sangle abdominale
Double Kettlebell Mountain Climber,débutant,abdominaux,Kettlebell,sangle abdominale
Alternating Double Dumbbell Overhead Press,débutant,épaules,Dumbbell,haut du corps
